,Ne,length,sample_size,recombination_rate,mutation_rate,tool,cputime_mean,cputime_se
4,5000,200000,10,1e-08,1e-08,ARGweaver,5162.127,100.3214072762583
5,5000,200000,10,1e-08,1e-08,RentPlus,1.314,0.06623527089935624
6,5000,200000,10,1e-08,1e-08,fastARG,0.0,0.0
7,5000,200000,10,1e-08,1e-08,tsinfer,1.119,0.06493501024528722
8,5000,200000,20,1e-08,1e-08,ARGweaver,7127.346,386.4298699841925
9,5000,200000,20,1e-08,1e-08,RentPlus,2.98,0.19324710720847657
10,5000,200000,20,1e-08,1e-08,fastARG,0.0,0.0
11,5000,200000,20,1e-08,1e-08,tsinfer,1.1729999999999998,0.041205447320577515
12,5000,200000,40,1e-08,1e-08,ARGweaver,9149.443,291.9148417567851
13,5000,200000,40,1e-08,1e-08,RentPlus,5.678,0.222270105952195
14,5000,200000,40,1e-08,1e-08,fastARG,0.0,0.0
15,5000,200000,40,1e-08,1e-08,tsinfer,1.248,0.05900659096895681
16,5000,200000,64,1e-08,1e-08,ARGweaver,11659.535,625.9390978561729
17,5000,200000,64,1e-08,1e-08,RentPlus,8.407,0.314027776549216
18,5000,200000,64,1e-08,1e-08,fastARG,0.004,0.001632993161855452
19,5000,200000,64,1e-08,1e-08,tsinfer,1.2369999999999999,0.04213866000084324
20,5000,200000,100,1e-08,1e-08,ARGweaver,15921.577,1431.9067059686145
21,5000,200000,100,1e-08,1e-08,RentPlus,14.884,0.8590371871397002
22,5000,200000,100,1e-08,1e-08,fastARG,0.019,0.0017950549357115013
23,5000,200000,100,1e-08,1e-08,tsinfer,1.3429999999999997,0.050023327891428146
