,Agree,Total,Error Agree
0,6251218,7416304,6243468
1,5914131,7082328,5907499
2,5577585,6713347,5570858
3,5242297,6330967,5235665
4,4929267,5957905,4924323
5,4607684,5574947,4602405
6,4287546,5194708,4282987
7,3964941,4807567,3961521
8,3644952,4421292,3641377
9,3323433,4031292,3320209
10,3005039,3647289,3002199
11,2687279,3263096,2685119
12,2368458,2875839,2366615
13,2053345,2494269,2051598
14,1744085,2117052,1741936
15,1424724,1730140,1422957
16,1109652,1346039,1108161
17,788106,957134,787311
18,473037,574902,472238
19,160635,195858,160445
