Ethnicity,CHB,JPT,CHS,CDX,KHV,CEU,TSI,FIN,GBR,IBS,YRI,LWK,GWD,MSL,ESN,ASW,ACB,MXL,PUR,CLM,PEL,GIH,PJL,BEB,STU,ITU
African,0.0048023065664611585,0.005135571600216617,0.005343475119365598,0.0049891692461759805,0.005287733341852203,0.0073927639367801085,0.009210181228332701,0.006766284651455974,0.006904152656563432,0.010194001087678343,0.15779085558694275,0.13303024934942276,0.10968729411602335,0.09874509473737736,0.15000011138334332,0.0671953887612949,0.1246234636537085,0.007214037676148055,0.02679184172140473,0.017896487896108627,0.00710306137808461,0.006934005506236063,0.006874562461087822,0.005577342807889354,0.007455932918788444,0.007054630611258177
Any other Asian background,0.0453733060181698,0.04768564319494713,0.04986330518749521,0.04622153576366789,0.048935047829451614,0.039000503665781894,0.04252326996053558,0.038199755547187526,0.03660770325169313,0.04105964378400913,0.005701220809154995,0.0077092828506020936,0.007417484224528003,0.004957412832736185,0.005301551997971004,0.007138434040519579,0.009294327355679392,0.019293941065245093,0.03570147249937093,0.03195514634644866,0.022393156538326412,0.07986578001763528,0.07530036068360484,0.06334269590737611,0.10386068739129355,0.0852973312365694
Any other Black background,0.007654642525226684,0.00763277896608175,0.008275694762594253,0.007700249146906043,0.008524083067485082,0.02489695248237075,0.020796064514110466,0.02206376818220345,0.023704290190169914,0.024185694321866673,0.1299794046428594,0.10036785391680172,0.09217934204984925,0.08365508760664284,0.12113051652548665,0.056205626848643844,0.1046305101208322,0.011027787008419828,0.03361515910312304,0.02510233835389847,0.010649131459515982,0.015783612104829196,0.016351589846626956,0.012622784257510702,0.016273090293462748,0.01499194770248228
Any other mixed background,0.023788413616987553,0.022925639412734233,0.02637402099528327,0.02385350443344114,0.025199252273051892,0.08015978488758577,0.06737502211018044,0.07248499649088923,0.07387497095847997,0.07535804045143203,0.02293483547209513,0.023138116848126146,0.020036515437061912,0.01570414906765965,0.021966172216212564,0.01834718079201316,0.026468386745807874,0.029228853310589116,0.061451984231324815,0.053963751768532346,0.030696848922834818,0.040142461156334755,0.040172827309552885,0.030451212345730286,0.03728569587763785,0.0366173628684211
Any other white background,0.011376049172936168,0.011346793957355166,0.011557709156675727,0.010181313729406118,0.011440253404260792,0.11157086037485943,0.09219929481785577,0.10927653603010345,0.10225347455802883,0.10284707643320617,0.004422051794668495,0.006437265930114697,0.006888333673326419,0.003865688594065069,0.0040837115942729055,0.012506495346936822,0.014768453857061187,0.031445476988675676,0.07616194263414848,0.0648271810858552,0.025874339900816282,0.039474876903058224,0.041312978878091315,0.02777818320428985,0.032741332500051894,0.03336232547988052
Asian or Asian British,0.027606493706611356,0.027790824422154407,0.028945847659250803,0.026321213070916092,0.028907219067628193,0.05642851816289772,0.054791085698529446,0.051753201791930305,0.05410916903547749,0.055422493026508826,0.005024299680828746,0.0069888104703681375,0.006791172741543701,0.004289427694546942,0.004821385543725571,0.008364089508999287,0.010945220267766852,0.022859417904386732,0.04418180467187627,0.04004560882356751,0.022434303300457554,0.08950050186244005,0.08548749829493248,0.06521257350927598,0.08721351841096077,0.08376430167241884
Bangladeshi,0.03782215554494332,0.03780997979787467,0.041114542172435646,0.040285354883216835,0.04437474442435293,0.037521223798240154,0.039123918478627714,0.03827546078884804,0.03569888437800604,0.03826431213154335,0.004987380875868039,0.006256698239177179,0.006471060352114159,0.00437171694481132,0.004679520663159038,0.006700321202650764,0.008671250808309041,0.018095753660362958,0.032646348180803315,0.02958429973585297,0.021449803367904755,0.09830013639134615,0.086689573754898,0.08458758474753887,0.09936569735666494,0.09685227732044982
Black or Black British,0.005374166979661877,0.0048028245595807114,0.005343215605080781,0.004845897937445252,0.004977461972208428,0.026614822348333598,0.018765520341530846,0.021577570822319064,0.02404197795717457,0.026096391511491165,0.13441919651006587,0.1046726791450512,0.09965426259853956,0.08627787758856725,0.13149926066444587,0.05997973909921945,0.11214592402613446,0.010589584686908342,0.035069845921110634,0.024701229982401984,0.009175746753669835,0.010964368918894341,0.010783326846872068,0.0077403073453630655,0.010462289294214182,0.009424510583715436
British,0.009482928367152125,0.00934688773981973,0.009488906487991966,0.008440202423043103,0.009611131840192563,0.12638458851844436,0.09151687758943072,0.10933185111544337,0.11655982934845975,0.10708442167909321,0.0031337328510086483,0.004656867156077979,0.005199671844539034,0.002818570548014388,0.002877074289023191,0.01309498491711988,0.015190048681396345,0.03103273103846579,0.07653543060481877,0.06508610866243346,0.02441971824107479,0.03636943073159346,0.0384467145107476,0.02548143650319936,0.028937293356227984,0.029472560955189558
Caribbean,0.005337726077314131,0.00564382613613522,0.005788697576706382,0.005402345134722445,0.005780830975863473,0.018010380261412964,0.015361431942758892,0.0161569769596429,0.016801564301982447,0.018205770762172065,0.14733961505559026,0.10111668256678776,0.10158683138802779,0.09360718981921336,0.14213515779936778,0.06374158076304298,0.11952583116112718,0.00924653783807374,0.0306718335886527,0.021736421629158065,0.009245828573251826,0.01007949149300103,0.010120553983226933,0.007883050126885458,0.009833786627476807,0.009640057458404643
Chinese,0.13936575930841263,0.121912692096655,0.1579274422248777,0.1436662102479002,0.14327579604234505,0.01130867101485372,0.012713503592450617,0.016093593841072056,0.011037914262194942,0.01255758907419919,0.004146132935267005,0.005036631437638665,0.0051192264546824325,0.003550525373413704,0.003784473772414657,0.0043586307226941255,0.005092147005983866,0.015970734856294456,0.01605745079811088,0.01710395987714089,0.02726273171208572,0.02210585737911947,0.021548337880791822,0.028879485794577157,0.025625176550019117,0.024499325744805366
Do not know,0.017663779773033565,0.016796423370448108,0.0186888068644295,0.01706338157038376,0.018609491660503713,0.08938442037304654,0.07403627193981714,0.078200170725455,0.08163396122949243,0.08237223417127487,0.019291642149751265,0.019565786550452578,0.017938601672620815,0.013777540385825236,0.018324842519696245,0.017548277390978494,0.024999535386019674,0.028858987829297106,0.06517605866439923,0.0563952483065397,0.02732296952230833,0.042222824849960885,0.04497872923564928,0.03162034199690413,0.03959558427314012,0.037934087588572224
Indian,0.023203737687329237,0.02375358384853114,0.02482409919066773,0.02257849704858577,0.02512330339802906,0.0472884654961912,0.048233612285936006,0.04535737865695656,0.044492573708205314,0.04713040366380259,0.004676764891819573,0.006343360034464351,0.0063597269428090015,0.004185439260153016,0.004371008291774567,0.007219104853545072,0.009362301116406005,0.019640893995138565,0.038843491272865294,0.034387805079824765,0.020448412652688527,0.11701930495798626,0.09782039688150815,0.07388845750526861,0.1032316486649328,0.10021622861458067
Irish,0.009375801818846854,0.009165585294343248,0.009301903970626565,0.00824935279515326,0.009384242527566746,0.1245787160550272,0.09125919286663962,0.10399846731563445,0.11947857810465204,0.1093272505264938,0.0028774444394004017,0.004359088240937679,0.004831951817250357,0.0026232235811704603,0.0026417508433282883,0.01323513672463155,0.014776572982643222,0.03190685812950393,0.07786803330011201,0.06724767802604144,0.024868777184382383,0.03639824156104291,0.03886844122272668,0.025546046792189095,0.028546533262352538,0.029285130617307746
Mixed,0.01871244192140793,0.02025085633984942,0.02012987920081156,0.017335312705129526,0.018132519964972775,0.07972405734017239,0.06370111861379361,0.07126904450840285,0.07629979574778871,0.07361454934164233,0.032715310152382625,0.02728157275089533,0.024173727234165148,0.02076111146288171,0.03179838089078883,0.021528696313271825,0.03525743713552556,0.027524641491309672,0.05890456184420893,0.05546704002211773,0.030276883807509886,0.0395816343087669,0.03748454722618531,0.028832714782389655,0.03548211768901259,0.03376004720461715
Other ethnic group,0.031197836485871856,0.0377109806184641,0.03384436844028916,0.030536360661935717,0.03255758744325913,0.05160398367897735,0.05306330389992269,0.047663027958770796,0.047674832705297876,0.055119382292578796,0.03728488272547824,0.03641788958724138,0.030705499795471457,0.025004558321937875,0.035690129571016305,0.022180009962966825,0.03551436460026297,0.02594507833294516,0.050677958439211766,0.046028847116819274,0.029677991730964914,0.04293318529555323,0.04244660299706143,0.033770185661108315,0.04311150175444546,0.04163964992214779
Pakistani,0.022566792181669244,0.02299454678644799,0.02401441162556575,0.021390498288142247,0.02380025680629232,0.05109821963879673,0.05255420847131491,0.048647966188263336,0.04851921856086406,0.05123606254687347,0.004803698082601099,0.006573479147364225,0.0065285018727640485,0.004224016434982302,0.0044338414763092655,0.007645603473918593,0.009697421224847626,0.020942905970911734,0.042016193070020344,0.03738989081684715,0.021266908076278405,0.09943352997657337,0.1040110180757554,0.07103504731843352,0.09795016604207207,0.09522559784609021
Prefer not to answer,0.01319663408993528,0.013390030793498441,0.01373057207221509,0.012498837057146604,0.013645710276735806,0.10221193376273198,0.07841372750543667,0.09005085620832147,0.09460898662932453,0.0895450100925056,0.018985862289264393,0.017349080555152326,0.016641576935089004,0.01290067579806091,0.018245870819362138,0.01783130204439924,0.025376320352910733,0.028047421390277175,0.06790791547668126,0.057522589677185605,0.023718676213481477,0.03895783382508525,0.0403482516712057,0.027850154224526656,0.033544794016542714,0.03347937622292378
White,0.010198231865188414,0.010154741974351214,0.010483623018277051,0.00912691169380293,0.010370506739935212,0.1219627388849793,0.09163596644916944,0.10514932650534906,0.11372813031832196,0.10560390776004903,0.003774288171705969,0.005723828733371301,0.005882485462796072,0.0033143050214768533,0.00340640491288621,0.01290625466672968,0.015259132779811935,0.031041314467555325,0.07655159770000185,0.06573766143851004,0.024699112735527398,0.03723529875236497,0.039663238291085035,0.026303764227603287,0.02986852830983892,0.03021869911931171
White and Asian,0.026228657865205316,0.0253618103930727,0.028245996107282758,0.026369936372873177,0.02834669578592703,0.08244989130294414,0.06738552655492337,0.0747927256994285,0.07678479880456418,0.07379214591975337,0.005145851170158149,0.006946177752255365,0.006779714597452067,0.004264470919982067,0.004805367382291991,0.010359275356534827,0.012776653284382322,0.02513182073877985,0.056301733475461975,0.048554053078605636,0.023174522126403686,0.061554930473835465,0.05977270633528231,0.04610388824324652,0.06048203197734203,0.05808861828201063
White and Black African,0.009536587992018423,0.009424026144621735,0.009827035597057535,0.009061351064721031,0.010065998060307226,0.06825068893617836,0.0544766161525026,0.06054062231934958,0.06354894312982892,0.06210792047820142,0.06912473164152694,0.06100950567974929,0.05303806588093338,0.04466188902515068,0.06608422102679255,0.03643777171016234,0.061053999837267205,0.0210974181139244,0.05474379949522383,0.04441861384655574,0.017297389104644297,0.025351543179708877,0.026198653024810763,0.01835607017958464,0.022266599343800552,0.02201993903537788
White and Black Caribbean,0.008531387022061809,0.008394228679788673,0.008771031941108653,0.007993634920276781,0.008761986516298578,0.07487051625751907,0.05562722131397591,0.06453027840873246,0.06859133964325959,0.06545609487074146,0.0693394830988042,0.0497216931310847,0.0493056373412691,0.044453476054442734,0.06712046322597004,0.03636463566871856,0.06308921709673321,0.021117312517542043,0.054824149061916114,0.04481122922141379,0.018469825553774497,0.024947035147833637,0.025646442408135513,0.017819175658860962,0.0205787939907927,0.02086371124894545
